year,latitude,longitude,estimated_woodchuck_population
2020,39.8,-77.2,1108.5480956239871
2020,39.8,-77.0,10391.804841977311
2020,39.8,-75.4,2191.5735463938413
2020,39.8,-75.3,50.0
2020,39.9,-79.6,102.84474777147489
2020,39.9,-76.4,170.12450364667748
2020,39.9,-75.6,3873.5674432739065
2020,39.9,-75.4,10633.17840863047
2020,39.9,-75.3,8129.696707860617
2020,39.9,-75.2,13361.362586102108
2020,39.9,-75.1,1850.8085291734199
2020,40.0,-77.6,3.492990275526742
2020,40.0,-77.5,50.0
2020,40.0,-77.1,175.00675141815236
2020,40.0,-76.7,3072.7597295380874
2020,40.0,-76.3,5540.398586912481
2020,40.0,-75.9,289.36248987034037
2020,40.0,-75.3,8890.573191855756
2020,40.0,-75.2,29266.971657212318
2020,40.0,-75.1,48771.789662682335
2020,40.0,-75.0,1368.2201681523502
2020,40.0,-74.9,50.0
2020,40.1,-80.5,64.50124088330632
2020,40.1,-78.5,50.0
2020,40.1,-77.1,235.14175445705024
2020,40.1,-76.5,787.7090002025933
2020,40.1,-76.4,636.0417747163697
2020,40.1,-76.3,4652.464581645057
2020,40.1,-76.2,771.7126924635331
2020,40.1,-75.7,438.09242807941655
2020,40.1,-75.5,1819.2525374797406
2020,40.1,-75.4,4099.738563614263
2020,40.1,-75.3,4273.5545228930305
2020,40.1,-75.2,6225.262839343599
2020,40.1,-75.1,6698.126397893031
2020,40.1,-75.0,6844.951068679093
2020,40.1,-74.9,4084.218572730957
2020,40.2,-80.0,104.55154983792545
2020,40.2,-79.9,929.5720370745544
2020,40.2,-77.2,2270.0864414505677
2020,40.2,-77.0,3010.6797660048624
2020,40.2,-76.9,3863.3663239465154
2020,40.2,-76.8,1005.7033478525123
2020,40.2,-76.7,907.2645309967586
2020,40.2,-76.2,1802.7402198136144
2020,40.2,-76.0,1.1907921393841168
2020,40.2,-75.6,448.61109197730957
2020,40.2,-75.5,1686.5189070097244
2020,40.2,-75.4,13223.984866288494
2020,40.2,-75.2,1293.7162732982174
2020,40.2,-75.1,4653.615680713128
2020,40.2,-75.0,2904.7786517423015
2020,40.2,-74.8,3397.766597447326
2020,40.3,-80.1,1890.898531199352
2020,40.3,-80.0,3072.9978879659648
2020,40.3,-79.6,809.6195755672611
2020,40.3,-79.4,1126.330591572123
2020,40.3,-76.9,5796.974599878445
2020,40.3,-76.8,4435.06563006483
2020,40.3,-76.2,223.82922913290113
2020,40.3,-75.4,2805.506280388979
2020,40.3,-75.2,839.7466166936791
2020,40.3,-75.0,2653.5612034035657
2020,40.4,-80.2,430.35227917341984
2020,40.4,-80.1,2940.5818020664506
2020,40.4,-80.0,16895.316111223663
2020,40.4,-79.9,5436.561512358186
2020,40.4,-79.8,2212.213943476499
2020,40.4,-79.5,41.32048723662885
2020,40.4,-77.2,165.91703808752027
2020,40.4,-75.5,800.8077137358185
2020,40.4,-75.2,1814.7672204213939
2020,40.5,-80.2,2194.1932891004867
2020,40.5,-80.1,2051.417311588331
2020,40.5,-80.0,4708.7096636953
2020,40.5,-79.9,3489.2194337520264
2020,40.5,-79.8,2479.9834025526743
2020,40.5,-79.7,818.9077542544571
2020,40.5,-79.4,240.460626012966
2020,40.5,-78.2,50.0
2020,40.6,-80.1,1295.5024615072934
2020,40.6,-80.0,1929.6786618719614
2020,40.6,-79.9,1165.5870391004862
2020,40.6,-79.7,2073.645431523501
2020,40.6,-78.7,113.52218395461915
2020,40.6,-75.7,541.5722649918963
2020,40.6,-75.5,5763.7118061183155
2020,40.7,-79.7,711.6173824959483
2020,40.7,-79.5,302.9772133306321
2020,40.7,-79.2,80.4578555510535
2020,40.7,-78.5,158.1768891815235
2020,40.7,-78.1,81.33110311993518
2020,40.7,-75.2,5701.473070299839
2020,40.8,-79.8,328.65863047001625
2020,40.8,-79.7,50.0
2020,40.8,-78.5,91.33375709076176
2020,40.8,-77.9,5317.085367706645
2020,40.8,-77.8,225.2184866288493
2020,40.8,-76.0,438.17181422204226
2020,40.8,-75.3,231.64876418152355
2020,40.8,-75.2,21.593030794165315
2020,40.9,-79.5,38.66105145867099
2020,40.9,-79.4,72.99555814424636
2020,40.9,-79.3,105.34541126418154
2020,40.9,-76.5,50.0
2020,40.9,-76.1,41.39987337925446
2020,40.9,-75.5,423.6044570502431
2020,41.0,-80.1,50.0
2020,41.0,-77.9,50.0
2020,41.0,-76.9,881.2655692868719
2020,41.0,-76.6,773.4194945299839
2020,41.0,-76.5,100.0
2020,41.0,-76.4,1205.6770411264183
2020,41.1,-80.0,48.54462621555916
2020,41.1,-79.4,50.0
2020,41.1,-78.8,880.8289455024311
2020,41.1,-78.7,83.87145968395463
2020,41.1,-76.6,50.0
2020,41.1,-75.5,58.42820097244733
2020,41.1,-75.0,395.898693273906
2020,41.2,-80.4,50.0
2020,41.2,-80.1,621.9507344003242
2020,41.2,-75.9,2806.6176863857377
2020,41.2,-75.4,693.5173419773096
2020,41.3,-80.4,117.01517423014587
2020,41.3,-79.4,152.06415619935171
2020,41.3,-75.9,2549.406584278768
2020,41.3,-75.1,50.0
2020,41.3,-74.8,50.0
2020,41.4,-80.4,684.5467078606159
2020,41.4,-80.1,50.0
2020,41.4,-75.7,3632.035104335495
2020,41.5,-75.7,1623.0893790518642
2020,41.6,-79.7,432.7338634521881
2020,41.7,-80.1,200.56908934359808
2020,41.7,-77.8,50.0
2020,41.8,-76.8,195.84561385737442
2020,41.9,-75.8,100.0
2020,42.0,-80.4,567.6903059157212
