year,month,latitude,longitude,estimated_woodchuck_population
2023,5,39.8,-77.3,50.0
2023,10,39.8,-77.3,50.0
2023,4,39.8,-76.6,765.8000000000001
2023,6,39.8,-76.6,765.8000000000001
2023,6,39.9,-77.0,215.75
2023,8,39.9,-77.0,215.75
2023,5,39.9,-76.7,3534.8
2023,6,39.9,-76.7,3534.8
2023,7,39.9,-76.7,3534.8
2023,7,39.9,-76.6,1348.1000000000001
2023,3,39.9,-76.4,214.3
2023,8,39.9,-76.4,214.3
2023,7,39.9,-75.9,272.1
2023,9,39.9,-75.9,272.1
2023,5,39.9,-75.8,495.5
2023,2,39.9,-75.6,4879.400000000001
2023,3,39.9,-75.5,6776.950000000001
2023,6,39.9,-75.5,6776.950000000001
2023,8,39.9,-75.5,6776.950000000001
2023,10,39.9,-75.5,6776.950000000001
2023,5,39.9,-75.4,13394.25
2023,8,39.9,-75.4,13394.25
2023,3,39.9,-75.3,10240.7
2023,5,39.9,-75.3,10240.7
2023,6,39.9,-75.3,10240.7
2023,8,39.9,-75.3,10240.7
2023,3,39.9,-75.2,16830.850000000002
2023,4,39.9,-75.2,16830.850000000002
2023,5,39.9,-75.2,16830.850000000002
2023,7,39.9,-75.2,16830.850000000002
2023,8,39.9,-75.2,16830.850000000002
2023,9,39.9,-75.2,16830.850000000002
2023,10,39.9,-75.2,16830.850000000002
2023,9,40.0,-78.9,193.3
2023,5,40.0,-78.7,50.0
2023,6,40.0,-77.3,50.0
2023,8,40.0,-77.3,50.0
2023,9,40.0,-77.3,50.0
2023,6,40.0,-76.7,3870.65
2023,8,40.0,-76.7,3870.65
2023,11,40.0,-76.7,3870.65
2023,5,40.0,-76.5,1289.65
2023,6,40.0,-76.4,4298.6
2023,7,40.0,-76.2,1458.45
2023,4,40.0,-75.8,2859.8500000000004
2023,6,40.0,-75.6,6130.35
2023,9,40.0,-75.6,6130.35
2023,4,40.0,-75.5,3163.75
2023,6,40.0,-75.5,3163.75
2023,10,40.0,-75.5,3163.75
2023,5,40.0,-75.4,5056.450000000001
2023,4,40.0,-75.3,11199.150000000001
2023,5,40.0,-75.3,11199.150000000001
2023,9,40.0,-75.3,11199.150000000001
2023,4,40.0,-75.2,36866.6
2023,5,40.0,-75.2,36866.6
2023,6,40.0,-75.2,36866.6
2023,7,40.0,-75.2,36866.6
2023,8,40.0,-75.2,36866.6
2023,9,40.0,-75.2,36866.6
2023,10,40.0,-75.2,36866.6
2023,11,40.0,-75.2,36866.6
2023,3,40.0,-75.1,61436.15
2023,4,40.0,-75.1,61436.15
2023,10,40.0,-75.1,61436.15
2023,7,40.1,-79.3,69.75
2023,7,40.1,-77.5,1461.9
2023,6,40.1,-76.3,5860.55
2023,8,40.1,-76.3,5860.55
2023,10,40.1,-75.8,407.75
2023,6,40.1,-75.7,551.85
2023,6,40.1,-75.5,2291.65
2023,7,40.1,-75.5,2291.65
2023,3,40.1,-75.4,5164.3
2023,7,40.1,-75.4,5164.3
2023,8,40.1,-75.4,5164.3
2023,8,40.1,-75.3,5383.25
2023,4,40.1,-75.2,7841.75
2023,5,40.1,-75.2,7841.75
2023,6,40.1,-75.2,7841.75
2023,7,40.1,-75.2,7841.75
2023,9,40.1,-75.2,7841.75
2023,4,40.1,-75.1,8437.4
2023,5,40.1,-75.1,8437.4
2023,9,40.1,-75.1,8437.4
2023,5,40.1,-75.0,8622.35
2023,8,40.1,-74.9,5144.75
2023,12,40.2,-80.3,2447.5
2023,7,40.2,-80.2,286.5
2023,7,40.2,-79.8,1158.05
