year,month,latitude,longitude,estimated_woodchuck_population
2018,6,39.9,-75.6,4879.400000000001
2018,9,39.9,-75.4,13394.25
2018,3,39.9,-75.3,10240.7
2018,6,39.9,-75.3,10240.7
2018,4,39.9,-75.2,16830.850000000002
2018,5,39.9,-75.2,16830.850000000002
2018,9,39.9,-75.2,16830.850000000002
2018,6,40.0,-80.0,419.35
2018,4,40.0,-78.6,178.3
2018,5,40.0,-78.2,74.60000000000001
2018,6,40.0,-78.2,74.60000000000001
2018,8,40.0,-76.8,1770.7
2018,6,40.0,-75.2,36866.6
2018,8,40.0,-75.2,36866.6
2018,4,40.0,-75.1,61436.15
2018,6,40.0,-75.1,61436.15
2018,7,40.0,-75.1,61436.15
2018,5,40.1,-76.4,801.2
2018,4,40.1,-76.3,5860.55
2018,6,40.1,-76.3,5860.55
2018,9,40.1,-76.3,5860.55
2018,6,40.1,-75.5,2291.65
2018,5,40.1,-75.3,5383.25
2018,9,40.1,-75.2,7841.75
2018,8,40.2,-76.0,1.5
2018,6,40.2,-75.8,304.90000000000003
2018,4,40.2,-75.5,2124.4500000000003
2018,9,40.2,-75.2,1629.65
2018,9,40.3,-80.2,2135.9500000000003
2018,7,40.3,-80.0,3870.9500000000003
2018,10,40.3,-79.9,3968.75
2018,4,40.3,-79.4,1418.8000000000002
2018,6,40.3,-76.6,1084.65
2018,5,40.3,-75.2,1057.8
2018,6,40.3,-75.2,1057.8
2018,5,40.4,-80.1,3704.15
2018,4,40.4,-80.0,21282.45
2018,7,40.4,-80.0,21282.45
2018,8,40.4,-80.0,21282.45
2018,9,40.4,-80.0,21282.45
2018,4,40.4,-79.9,6848.25
2018,5,40.4,-79.9,6848.25
2018,6,40.4,-79.8,2786.65
2018,8,40.4,-79.0,104.65
2018,4,40.5,-80.1,2584.1000000000004
2018,10,40.5,-80.1,2584.1000000000004
2018,7,40.5,-80.0,5931.400000000001
2018,5,40.6,-80.2,2292.6
2018,4,40.6,-75.5,7260.35
2018,4,40.7,-80.0,835.85
2018,6,40.7,-79.9,405.0
2018,4,40.7,-79.6,50.0
2018,9,40.7,-79.5,381.65000000000003
2018,6,40.8,-77.9,6697.75
2018,9,40.8,-77.9,6697.75
2018,8,40.8,-77.8,283.7
2018,9,40.8,-77.8,283.7
2018,7,41.0,-75.2,2881.55
2018,3,41.1,-77.6,127.4
2018,7,41.2,-79.8,50.0
2018,6,41.5,-75.7,2044.5500000000002
2018,5,41.8,-79.1,1780.3000000000002
2018,7,41.8,-76.8,246.70000000000002
2018,6,41.9,-79.2,50.0
2018,9,42.2,-79.9,133.65
