year,latitude,longitude,estimated_woodchuck_population
2019,39.7,-76.1,50.0
2019,39.8,-79.9,267.84019448946515
2019,39.8,-77.4,285.84838938411673
2019,39.8,-75.9,420.27575972447335
2019,39.9,-79.6,93.88175648298218
2019,39.9,-76.7,2561.5841977309565
2019,39.9,-75.7,853.6681523500811
2019,39.9,-75.6,3535.9833468395464
2019,39.9,-75.4,9706.48951580227
2019,39.9,-75.3,7421.187986223664
2019,39.9,-75.2,12196.91054497569
2019,40.0,-76.0,324.8359501620746
2019,40.0,-75.3,8115.753555510535
2019,40.0,-75.2,26716.33472447326
2019,40.1,-79.6,342.08323541329014
2019,40.1,-77.0,880.5536264181524
2019,40.1,-76.3,4246.9990579416535
2019,40.1,-75.4,3742.4434967585094
2019,40.1,-75.3,3901.111274311184
2019,40.1,-75.2,5682.726853727716
2019,40.1,-75.1,6114.380024311184
2019,40.1,-75.0,6248.40882293355
2019,40.1,-74.9,3728.276083873582
2019,40.2,-76.2,1645.6301559967587
2019,40.2,-75.5,1539.5376114262563
2019,40.2,-75.3,5603.8096535656405
2019,40.2,-75.2,1180.9680004051863
2019,40.2,-75.1,4248.049837925446
2019,40.3,-80.1,1726.1054092382496
2019,40.3,-80.0,2805.1839850081037
2019,40.3,-78.2,1.1594813614262562
2019,40.3,-76.2,204.3223561588331
2019,40.3,-75.9,3471.16109197731
2019,40.3,-75.6,2318.8540214748787
2019,40.3,-75.2,766.5621150729336
2019,40.4,-80.1,2684.308053079417
2019,40.4,-80.0,15422.877562803893
2019,40.4,-79.9,4962.761395867099
2019,40.4,-75.4,2825.2937398703407
2019,40.5,-80.1,1872.634866288493
2019,40.5,-80.0,4298.34234197731
2019,40.6,-80.0,1761.505824554295
2019,40.6,-77.4,355.2361021069692
2019,40.6,-76.0,9.565721231766613
2019,40.6,-75.4,3774.5828707455426
2019,40.6,-75.3,427.051478930308
2019,40.7,-78.6,28.371059562398706
2019,40.7,-78.5,144.39166329011346
2019,40.7,-75.4,1445.4384521880065
2019,40.7,-75.3,2690.75766815235
2019,40.7,-75.2,5204.585727309563
2019,40.8,-79.8,300.0158022690438
2019,40.8,-79.5,690.2175141815235
2019,40.8,-77.9,4853.697680307942
2019,40.8,-77.8,205.59053889789303
2019,40.8,-76.4,326.43023703403566
2019,40.8,-75.4,406.4344509724474
2019,40.8,-75.3,211.46041329011348
2019,40.9,-80.0,50.0
2019,40.9,-77.8,1101.7971636953
2019,40.9,-76.6,140.26101094003243
2019,40.9,-75.7,318.53127025931934
2019,41.0,-76.5,50.0
2019,41.0,-75.1,30.79872366288493
2019,41.1,-80.4,50.0
2019,41.1,-80.0,44.313928282009726
2019,41.1,-76.7,101.16474878444086
2019,41.2,-79.8,50.0
2019,41.2,-79.5,224.86691653160457
2019,41.3,-75.9,2327.224027552674
2019,41.3,-75.8,1297.6770461912483
2019,41.5,-80.0,18.298065235008107
2019,41.6,-80.2,50.0
