year,month,latitude,longitude,estimated_woodchuck_population
2024,2,39.7,-77.6,50.0
2024,5,39.7,-77.2,50.0
2024,6,39.7,-77.2,50.0
2024,5,39.7,-75.8,77.2
2024,10,39.8,-79.5,81.5
2024,5,39.8,-79.4,103.7
2024,5,39.8,-77.7,1013.95
2024,7,39.8,-77.2,1396.4
2024,9,39.8,-76.9,172.8
2024,3,39.8,-76.6,765.8000000000001
2024,5,39.8,-76.6,765.8000000000001
2024,9,39.8,-76.6,765.8000000000001
2024,5,39.8,-76.2,286.15000000000003
2024,5,39.8,-75.8,1806.4
2024,12,39.8,-75.7,34.45
2024,5,39.8,-75.3,50.0
2024,6,39.8,-75.2,50.0
2024,7,39.8,-75.2,50.0
2024,4,39.9,-80.1,91.75
2024,8,39.9,-80.1,91.75
2024,4,39.9,-76.7,3534.8
2024,6,39.9,-76.7,3534.8
2024,3,39.9,-76.6,1348.1000000000001
2024,4,39.9,-76.4,214.3
2024,5,39.9,-76.4,214.3
2024,5,39.9,-76.1,628.35
2024,6,39.9,-76.0,410.85
2024,9,39.9,-75.7,1178.0
2024,3,39.9,-75.6,4879.400000000001
2024,10,39.9,-75.6,4879.400000000001
2024,3,39.9,-75.5,6776.950000000001
2024,4,39.9,-75.5,6776.950000000001
2024,6,39.9,-75.5,6776.950000000001
2024,7,39.9,-75.5,6776.950000000001
2024,9,39.9,-75.5,6776.950000000001
2024,11,39.9,-75.5,6776.950000000001
2024,4,39.9,-75.4,13394.25
2024,5,39.9,-75.4,13394.25
2024,6,39.9,-75.4,13394.25
2024,7,39.9,-75.4,13394.25
2024,5,39.9,-75.3,10240.7
2024,8,39.9,-75.3,10240.7
2024,9,39.9,-75.3,10240.7
2024,10,39.9,-75.3,10240.7
2024,3,39.9,-75.2,16830.850000000002
2024,4,39.9,-75.2,16830.850000000002
2024,5,39.9,-75.2,16830.850000000002
2024,6,39.9,-75.2,16830.850000000002
2024,8,39.9,-75.2,16830.850000000002
2024,9,39.9,-75.2,16830.850000000002
2024,10,39.9,-75.2,16830.850000000002
2024,6,40.0,-79.2,50.0
2024,9,40.0,-78.5,576.45
2024,6,40.0,-77.3,100.0
2024,11,40.0,-77.3,50.0
2024,5,40.0,-76.8,1770.7
2024,6,40.0,-76.8,1770.7
2024,4,40.0,-76.7,3870.65
2024,5,40.0,-76.7,3870.65
2024,5,40.0,-76.5,1289.65
2024,6,40.0,-76.4,4298.6
2024,10,40.0,-76.4,4298.6
2024,3,40.0,-76.2,1458.45
2024,10,40.0,-75.7,5782.6
2024,6,40.0,-75.6,6130.35
2024,7,40.0,-75.6,6130.35
2024,8,40.0,-75.6,6130.35
2024,9,40.0,-75.6,6130.35
2024,4,40.0,-75.5,3163.75
2024,6,40.0,-75.5,3163.75
2024,7,40.0,-75.5,3163.75
2024,8,40.0,-75.5,3163.75
2024,9,40.0,-75.5,3163.75
2024,8,40.0,-75.4,5056.450000000001
2024,9,40.0,-75.4,5056.450000000001
2024,4,40.0,-75.3,11199.150000000001
2024,5,40.0,-75.3,11199.150000000001
2024,7,40.0,-75.3,11199.150000000001
