CN,PLT_CN,INVYR,STATECD,COUNTYCD,PLOT,SUBP,TRANSECT,CWDID,MEASYEAR,CONDID,SLOPDIST,HORIZ_DIST,SPCD,DECAYCD,TRANSDIA,SMALLDIA,LARGEDIA,LENGTH,HOLLOWCD,CWDHSTCD,VOLCF,DRYBIO,CARBON,COVER_PCT,LPA_UNADJ,LPA_PLOT,LPA_COND,LPA_UNADJ_RGN,LPA_PLOT_RGN,LPA_COND_RGN,COVER_PCT_RGN,CHARRED_CD,ORNTCD_PNWRS,CREATED_DATE,MODIFIED_DATE,CWD_SAMPLE_METHOD,HOLLOW_DIA,HORIZ_DIST_CD,INCLINATION,LARGE_END_DIA_CLASS,LENGTH_CD,VOLCF_AC_UNADJ,VOLCF_AC_PLOT,VOLCF_AC_COND,DRYBIO_AC_UNADJ,DRYBIO_AC_PLOT,DRYBIO_AC_COND,CARBON_AC_UNADJ,CARBON_AC_PLOT,CARBON_AC_COND,CountyName,lat,long
76457682010538,58278740010538,2001,42,5,246,3,30,1.0,2001.0,1,9.9,9.9,999.0,2,3,3.0,6.0,20.0,Y,1.0,2.454375,62.1188568,31.4321415408,0.306796875,17.8187625,17.8187625,17.8187625,,,,,,,2008-02-05 08:23:53,2025-05-19 09:00:59,9,,,,,,43.7339252109375,43.7339252109375,43.7339252109375,1106.88115609071,1106.88115609071,1106.88115609071,560.0818649818992,560.0818649818992,560.0818649818992,Armstrong,40.8,-79.5
76457683010538,58278740010538,2001,42,5,246,3,30,2.0,2001.0,1,16.0,16.0,999.0,3,3,3.0,4.0,8.0,N,1.0,0.5454166666666667,7.963956,4.029761736,0.2386197916666666,44.54690625,44.54690625,44.54690625,,,,,,,2008-02-05 08:23:53,2025-05-19 09:00:59,9,,,,,,24.2966251171875,24.2966251171875,24.2966251171875,354.769601311125,354.769601311125,354.769601311125,179.51341826342926,179.51341826342926,179.51341826342926,Armstrong,40.8,-79.5
76457678010538,58278740010538,2001,42,5,246,3,150,1.0,2001.0,1,15.9,15.9,999.0,3,4,3.0,5.0,6.0,N,1.0,0.556325,8.12323512,4.11035697072,0.2727083333333333,59.395875,59.395875,59.395875,,,,,,,2008-02-05 08:23:53,2025-05-19 09:00:59,9,,,,,,33.043410159375,33.043410159375,33.043410159375,482.48665778313,482.48665778313,482.48665778313,244.1382488382638,244.1382488382638,244.1382488382638,Armstrong,40.8,-79.5
76457679010538,58278740010538,2001,42,5,246,3,150,2.0,2001.0,1,17.5,17.5,999.0,3,8,5.0,13.0,17.0,N,1.0,8.993920833333334,131.32563444,66.45077102664,0.61359375,20.96325,20.96325,20.96325,,,,,,,2008-02-05 08:23:53,2025-05-19 09:00:59,9,,,,,,188.541810909375,188.541810909375,188.541810909375,2753.01210617433,2753.01210617433,2753.01210617433,1393.024125724211,1393.024125724211,1393.024125724211,Armstrong,40.8,-79.5
76457680010538,58278740010538,2001,42,5,246,3,150,3.0,2001.0,1,22.9,22.9,999.0,2,6,3.0,8.0,36.0,N,1.0,7.166775,181.387061856,91.781853299136,0.3749739583333333,9.8993125,9.8993125,9.8993125,,,,,,,2008-02-05 08:23:53,2025-05-19 09:00:59,9,,,,,,70.9461453421875,70.9461453421875,70.9461453421875,1795.607208769374,1795.607208769374,1795.607208769374,908.5772476373032,908.5772476373032,908.5772476373032,Armstrong,40.8,-79.5
76457568010538,58288094010538,2001,42,25,571,3,30,1.0,2001.0,1,5.0,4.993761694389,999.0,2,3,3.0,3.0,15.0,N,1.0,0.7363125,18.63565704,9.42964246224,0.20453125,23.75835,23.75835,23.75835,,,,,,,2008-02-05 08:23:53,2025-05-19 09:00:59,9,,,,,,17.493570084375,17.493570084375,17.493570084375,442.752462436284,442.752462436284,442.752462436284,224.03274599275971,224.03274599275971,224.03274599275971,Carbon,40.9,-75.8
76457628010538,58282628010538,2001,42,13,1619,3,30,1.0,2001.0,1,7.8,7.8,999.0,2,4,4.0,4.0,8.0,N,1.0,0.6981333333333334,17.669363712,8.940698038272,0.2727083333333333,44.54690625,44.54690625,44.54690625,,,,,,,2008-02-05 08:23:53,2025-05-19 09:01:00,9,,,,,,31.09968015,31.09968015,31.09968015,787.115488775616,787.115488775616,787.115488775616,398.2804373204617,398.2804373204617,398.2804373204617,Blair,40.4,-78.4
76457629010538,58282628010538,2001,42,13,1619,4,150,1.0,2001.0,1,22.3,22.3,999.0,2,3,3.0,4.0,12.0,N,1.0,0.818125,20.7062856,10.4773805136,0.2386197916666666,29.6979375,29.6979375,29.6979375,,,,,,,2008-02-05 08:23:53,2025-05-19 09:01:00,9,,,,,,24.2966251171875,24.2966251171875,24.2966251171875,614.93397560595,614.93397560595,614.93397560595,311.1565916566107,311.1565916566107,311.1565916566107,Blair,40.4,-78.4
76457743010538,58283447010538,2001,42,15,1429,2,30,2.0,2001.0,1,9.0,8.207293546576,999.0,2,7,4.0,9.0,17.0,N,1.0,4.496960416666667,113.815549848,57.590668223088,0.4431510416666667,20.96325,20.96325,20.96325,,,,,,,2008-02-05 08:23:53,2025-05-19 09:01:00,9,,,,,,94.2709054546875,94.2709054546875,94.2709054546875,2385.943825351086,2385.943825351086,2385.943825351086,1207.2875756276494,1207.2875756276494,1207.2875756276494,Bradford,41.8,-76.5
76457737010538,58283447010538,2001,42,15,1429,1,270,3.0,2001.0,1,3.5,3.5,999.0,3,3,3.0,6.0,12.0,N,1.0,1.472625,21.5026812,10.8803566872,0.306796875,29.6979375,29.6979375,29.6979375,,,,,,,2008-02-05 08:23:53,2025-05-19 09:01:00,9,,,,,,43.7339252109375,43.7339252109375,43.7339252109375,638.585282360025,638.585282360025,638.585282360025,323.12415287417264,323.12415287417264,323.12415287417264,Bradford,41.8,-76.5
